GENES
SRY
SOX9
FOXL2
DAX1
AR
AMH
AMHR2
HSD3B
SRD5A1
GNRH1
GNRH2
RSPO1
WNT4
CITED2
ATRX
EMX2
GATA4
INSR
IGF1R
INSRR
JMJD1A
LHX1
LHX9
NR5A1
NRG1
NUMB
NUMBL
PAX2
SIX1
SIX4
TCF21
WT1
COUP-TF2
CBX2
CTNNB1
DHH
DKK1
DMRT1
FGF9
FGFR2
FOG2
FST
GADD45G
HHAT
INHBB
MAP3K1
MAPK14
PDGFB
PDGFRA
PTGDS
SOX8
SOX10
SP1
VEGFA
ZNRF3
SULT2A1
SULT1E1
SULT2B1
STS
UGT1A8
SLC22A11
PAQR8
DHRS11
PAQR6
SLCO2B1
CHST10
CYP3A7
PAPSS2
PAQR9
PAQR7
PTGES2
PTGES3
SST
ANOS1
FGFR1
TACR3
SMIM20
NDNF
NELL2
IGSF10
NHLH2
NHLH1
INHA
SHH
CCDC141
IL17RD
NSMF
FGF8
LGR4
TCF12
DMXL2
NR0B1
CGA
LHB
LHCGR
GNAS
ADCY1
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
PRKACA
PRKACB
PRKACG
PLA2G4E
PLA2G4A
PLA2G4B
JMJD7-PLA2G4B
PLA2G4C
PLA2G4D
PLA2G4F
ACOT4
ACOT2
ACOT1
ALOX5
CYP2J2
PTGS2
INS
IGF1
LDLR
SCARB1
STAR
CYP11A1
CYP17A1
HSD17B1
HSD17B2
AKR1C3
HSD17B7
HSD3B1
HSD3B2
FSHB
FSHR
CYP19A1
CYP1B1
CYP1A1
BMP15
BMP6
ESR1
ESR2
HSP90AA1
HSP90AB1
HSP90B1
FKBP4
FKBP5
HSPA8
HSPA1A
HSPA1L
HSPA1B
HSPA6
NCOA1
NCOA2
NCOA3
BCL2
EBAG9
KRT9
KRT10
KRT12
KRT13
KRT14
KRT15
KRT16
KRT17
KRT18
KRT19
KRT31
KRT32
KRT33A
KRT33B
KRT34
KRT35
KRT40
KRT39
KRT23
KRT25
KRT28
KRT24
KRT27
KRT20
KRT38
KRT37
KRT36
KRT26
CTSD
TFF1
PGR
TGFA
RARA
FOS
JUN
GPER1
SRC
MMP2
MMP9
HBEGF
CREB1
ATF2
ATF4
CREB3
CREB3L1
CREB3L2
CREB3L3
CREB3L4
CREB5
ATF6B
EGFR
SHC1
SHC2
SHC3
SHC4
GRB2
SOS1
SOS2
HRAS
KRAS
NRAS
RAF1
MAP2K1
MAP2K2
MAPK1
MAPK3
PIK3CA
PIK3CD
PIK3CB
PIK3R1
PIK3R2
PIK3R3
AKT1
AKT2
AKT3
GABBR1
GABBR2
GNAI1
GNAI3
GNAI2
GNAO1
KCNJ3
KCNJ6
KCNJ9
KCNJ5
POMC
OPRM1
PRKCD
GNAQ
PLCB1
PLCB2
PLCB3
PLCB4
ITPR1
ITPR2
ITPR3
CALML3
CALM2
CALM3
CALM1
CALML6
CALML5
CALML4
NOS3
GRM1
GNRHR
GNA11
CAMK2A
CAMK2D
CAMK2B
CAMK2G
PRKCA
PRKCB
CACNA1C
CACNA1D
CACNA1F
CACNA1S
MAP3K2
MAP3K3
MAP3K4
MAP2K3
MAP2K6
MAPK11
MAPK12
MAPK13
MAPK7
PLD1
PLD2
CDC42
MAP2K4
MAP2K7
MAP2K8
MAPK10
MAPK9
PTK2B
MMP14
ELK1
EGR1
KISS1
KISS1R
PRKCG
HCN1
HCN2
HCN3
CACNA1G
CACNA1H
CACNA1I
TRPC1
TRPC4
TRPC5
KCNJ11
KCNN1
KCNN2
KCNN3
KCNN4
ARRB1
ARRB2
SPP1
RING1
RNF2
RBMY1F
RBMY1A1
BOLL
RYBP
UGT2B17
ESRRG
ESRRA
ESRRB
SRARP
PHB2
RERG
AKR1C2
SF1
CYP11B2
